"","scope 1 emissions","scope 2 emissions","total emissions","emissions quality flag","s1 lower bound","s1 upper bound","s1 mean","tot lower bound","tot upper bound","tot mean","co2 emissions per capita","latitude","longitude","region","population","city area km","average annual temperature celcius","gdp-ppp per capita","ngdp","ngdp per capita","energy per person co2","center of commerce index","urbanization ratio","mean one-way travel time","average diesel price","average gasoline price","household size","congestion rank","economy rank","environment rank","governance rank","human capital rank","international impact rank","mobility and transportation rank","public management rank","social cohesion rank","technology rank","urban planning rank","CIMI","CIMI Ranking","exports","production","natgas exports","C4H waste per capita","C4H waste plus natgas per capita","corrected C4H waste plus natgas per capita"
"47",7739830,NA,7739830,"E",7077555.54903081,7143018.16274803,7110286.85588942,7077555.54903081,7143018.16274803,7110286.85588942,NA,-15.79,-47.88,"Latin America & Caribbean",2977216,5802,21,35689,101.6,27326.5196342119,NA,NA,82.834,NA,1.02,1.27,3.30039236661538,209,162,143,139,142,121,113,58,137,159,127,47.18,143,1.17e+10,1.703e+10,0.69,0.0151203426,0.0204194776,0.0167788505
"48",NA,NA,148025,"D",NA,NA,NA,143428.391423843,145743.884442577,144586.13793321,NA,37.681,-122.419167,"North America",4282,52,NA,NA,NA,NA,NA,NA,NA,26.2,0.97,0.86,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"49",2127000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.45451,-2.58791,"Europe",454200,110,NA,42326,34.55597,41853.7081065892,NA,NA,79.007,NA,1.99,1.92,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",3293000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.85034,4.35171,"Europe",1175173,161.38,NA,46298,NA,NA,NA,52.16,97.292,NA,1.69,1.9,NA,71,49,89,34,68,30,30,84,47,45,53,72.89,40,NA,NA,NA,NA,NA,NA
"51",15561157,4105971,19667128,"A",15163724.0495747,15206123.0493211,15184923.5494479,19269695.0495747,19312094.0493211,19290894.5494479,NA,-34.603,-58.381667,"Latin America & Caribbean",3500000,202,18,23606,191.7,14634.7049393083,NA,NA,NA,45.71,1.33,1.52,NA,NA,113,113,49,60,47,49,107,97,82,63,63.32,83,2.6e+09,3.877e+10,0.07,0.0041514982,0.0046829182,0.00464728
"52",2592942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.9833,27.8667,"Africa",755200,2536,NA,NA,NA,NA,NA,NA,59.256,NA,1.17,1.19,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",368077,37305,405385.3,"A",NA,NA,NA,NA,NA,NA,NA,44.476,-73.211944,"North America",42260,26.7027969,7.7,NA,5.158,NA,NA,NA,NA,17.8,0.97,0.86,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"54",10448332,7758900,18207232,"A",7970890.51987471,8868684.47569606,8419787.49778539,15729790.5198747,16627584.4756961,16178687.4977854,NA,51.05,-114.066667,"North America",1239220,825.56,4.1,69826,78,62751.4078841513,17.3,NA,80.122,27,1.16,1.17,3,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.796e+10,1.515e+11,0.51,0.046860437,0.1017275144,0.0734936045
"55",1757500,2246400,4003900,"A",1380253.94256,1446214.24592,1413234.09424,3626653.94256,3692614.24592,3659634.09424,NA,-35.307,149.124417,"Oceania",381488,814.2,13.5,NA,NA,NA,NA,NA,NA,22,1.28,1.23,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.161e+10,6.264e+10,0.5,0.0277933709,0.039682077,0.0336826837
"56",9783734,12860112,22643846,"A",8251794.88163471,8441695.50362218,8346745.19262844,21111906.8816347,21301807.5036222,21206857.1926284,NA,-33.925,18.423889,"Africa",3840000,2461,16.6,14086,38,10882.0160366552,6,NA,59.256,45.31,1.17,1.19,3.4,33,163,145,71,144,94,135,40,159,90,139,50.38,133,0,1,0,0.0122306776,0.0139613383,0.0139613383
"57",14364103,3410672,17774776,"A",9921330.84007642,13479068.8047154,11700199.8223959,13332003.8400764,16889741.8047154,15110872.8223959,NA,10.481,-66.903611,"Latin America & Caribbean",5290000,4715.1,25,15890,69,14194.610162518,NA,NA,NA,49.5,0.008,0.015,NA,13,180,136,174,119,164,112,30,173,178,114,38.03,173,0,1,0,0.0089832473,0.0450948915,0.0450948915
